Season;Team;cum_mean_GF;cum_mean_GA;cum_mean_Shots;cum_mean_ShotsOT;cum_mean_Corners;cum_mean_Fouls;cum_mean_YC;cum_mean_RC;cum_mean_Points;cum_count_GF;cum_count_GA;cum_count_Shots;cum_count_ShotsOT;cum_count_Corners;cum_count_Fouls;cum_count_YC;cum_count_RC;cum_count_Points
Season 1;Arsenal;1.3043836240609006;1.0461018466546064;10.607697108205764;3.799002755974687;4.940024989920748;9.283698390883549;1.355497532679688;0.12832285641151858;1.481567728159937;703;703;703;703;703;703;703;703;703
Season 1;Aston Villa;1.7896922276924938;1.0304044926021418;14.115468855003039;5.188556452657859;6.275032826609818;11.303907599870437;1.8511391224760383;0.037309543068273124;1.7526773684548025;703;703;703;703;703;703;703;703;703
Season 1;Brighton;1.2107704205613932;1.509185959254648;12.530249901231132;3.6186513059570564;5.314665845759288;11.786603792874745;1.31846283434123;0.1880174129055825;0.9159184948184579;703;703;703;703;703;703;703;703;703
Season 1;Burnley;0.7068853650341886;1.531815531207206;9.451147129199526;3.0269429471568308;4.091506959897421;10.879475567971317;1.3922166661875763;0.0;0.816061934244543;703;703;703;703;703;703;703;703;703
Season 1;Chelsea;1.8315822090473295;1.090550269729831;13.180631590674087;5.224064252537906;5.510275746399511;11.736213396245153;1.1326296980735222;0.0905662802646388;1.6953380628084318;703;703;703;703;703;703;703;703;703
Season 1;Crystal Palace;1.2012345732696783;1.512281823126914;8.74112388550832;3.227173916155157;4.339895394422432;10.977359714944578;1.381308094256407;0.07499899393243827;1.3729072222104035;703;703;703;703;703;703;703;703;703
Season 1;Everton;1.6845343648924043;1.2686931353447626;10.775306329084833;4.271283242299332;4.532608181801307;10.159196918652684;1.464257837360096;0.1062238363414912;1.8260055350720414;703;703;703;703;703;703;703;703;703
Season 1;Fulham;0.8134060255372858;1.668474852070749;11.258606272513742;3.6504387550333295;3.7364105869947006;12.568791879122069;1.9555939428743918;0.09896217341497149;0.6132886318134904;703;703;703;703;703;703;703;703;703
Season 1;Leeds;1.732984691654756;1.8271794475431635;13.273534905712765;5.203051849162319;5.36675102201262;9.744802785503456;1.3627688282720831;0.005436818234244081;1.3300512785006844;703;703;703;703;703;703;703;703;703
Season 1;Leicester;1.981773380694272;1.1584576650616096;11.284433491110843;4.610961206254932;5.4649018732061325;9.906376847736846;1.8427365528531554;0.0;1.9505572721916085;703;703;703;703;703;703;703;703;703
Season 1;Liverpool;2.095411595562362;1.4484812618268572;15.936585297493513;5.854398627015556;6.707073556009984;9.612157629633217;0.9572236384244984;0.0;1.9229806868117307;703;703;703;703;703;703;703;703;703
Season 1;Man City;1.8310545236994091;0.9463042306030547;15.378535440563272;5.575687127610932;6.477033858127888;9.766806685325724;1.330833442444168;0.004476790931899291;2.0192875903607543;703;703;703;703;703;703;703;703;703
Season 1;Man United;1.8566956981750216;1.5438978903394096;13.1019137448657;5.298905596869074;5.207070863846885;12.25371543274705;1.6614368777970594;0.07109437431109647;1.758980878589434;703;703;703;703;703;703;703;703;703
Season 1;Newcastle;1.119484558274385;1.5414050575329457;9.314909070346328;2.9149751759487925;4.293383632771288;10.201351983982173;1.8990846401395098;0.03801100532313631;1.2055804904072653;703;703;703;703;703;703;703;703;703
Season 1;Sheffield United;0.46549308002917084;1.6154588168766986;8.46218223906244;2.702544540053152;5.010849597104056;12.13887449833741;1.676113443600664;0.12026855789779468;0.281347782692617;703;703;703;703;703;703;703;703;703
