Season;Team;Position
Season 6;Man City;
Season 6;Man United;
Season 6;Liverpool;
Season 6;Chelsea;
Season 6;Nott'm Forest;
Season 6;West Ham;
Season 6;Tottenham;
Season 6;Arsenal;
Season 6;Leeds;
Season 6;Everton;
Season 6;Aston Villa;
Season 6;Newcastle;
Season 6;Wolves;
Season 6;Crystal Palace;
Season 6;Brentford;
Season 6;Brighton;
Season 6;Burnley;
Season 6;Fulham;
Season 6;Bournemouth;
Season 6;Sunderland;
